========================================================================
 GAZİANTEP BÜYÜKŞEHİR BELEDİYESİ AÇIK VERİ API-DEN ÇEKİLEN TÜM VERİLER
========================================================================

1. OTOBÜS VE TRAMVAY DURAKLARI (TOPLAM 2874 KAYIT)
------------------------------------------------------------------------
1. Durak ID: 1 | Durak Adı: GATEM KUNDURACILAR SİTESİ | Enlem: None | Boylam: None
170. Durak ID: 170 | Durak Adı: ÅEHREKÃSTÃ İTFAİYESİ | Enlem: None | Boylam: None
171. Durak ID: 171 | Durak Adı: AHMET TANER KIÅLALI PARKI | Enlem: None | Boylam: None
172. Durak ID: 172 | Durak Adı: DEVA HASTANESİ | Enlem: None | Boylam: None
173. Durak ID: 173 | Durak Adı: ÅEHİTKAMİL GIDA BANKASI | Enlem: None | Boylam: None
174. Durak ID: 174 | Durak Adı: FATİH CAMİİ | Enlem: None | Boylam: None
175. Durak ID: 175 | Durak Adı: CESİKA GİYİM | Enlem: None | Boylam: None
176. Durak ID: 176 | Durak Adı: AKDENİZ GİYİM | Enlem: None | Boylam: None
177. Durak ID: 177 | Durak Adı: KIRSAL TERMİNAL 1 | Enlem: None | Boylam: None
178. Durak ID: 178 | Durak Adı: SULTANA TIP MERKEZİ | Enlem: None | Boylam: None
179. Durak ID: 179 | Durak Adı: ÅİRİNEVLER 1 | Enlem: None | Boylam: None
180. Durak ID: 180 | Durak Adı: ÅİRİNEVLER 2 | Enlem: None | Boylam: None
181. Durak ID: 181 | Durak Adı: MAAÅKUYU CAD. | Enlem: None | Boylam: None
182. Durak ID: 182 | Durak Adı: SEYRANTEPE PARKI | Enlem: None | Boylam: None
183. Durak ID: 183 | Durak Adı: EDABALİ İ.Ã.O | Enlem: None | Boylam: None
184. Durak ID: 184 | Durak Adı: ALTINOVA İNÅAAT BÃFE | Enlem: None | Boylam: None
185. Durak ID: 185 | Durak Adı: D.G.Y A BLOK | Enlem: None | Boylam: None
186. Durak ID: 186 | Durak Adı: İNCİLİKAYA | Enlem: None | Boylam: None
187. Durak ID: 187 | Durak Adı: İMAM HATİP LİSESİ | Enlem: None | Boylam: None
188. Durak ID: 188 | Durak Adı: AKDENİZ MARKET | Enlem: None | Boylam: None
189. Durak ID: 189 | Durak Adı: BİZİM EMLAK | Enlem: None | Boylam: None
190. Durak ID: 190 | Durak Adı: DİYAR MARKET | Enlem: None | Boylam: None
191. Durak ID: 191 | Durak Adı: B.ABDULLAH EDİP ORTA OKULU | Enlem: None | Boylam: None
192. Durak ID: 192 | Durak Adı: KARACA AVM. | Enlem: None | Boylam: None
