stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
11080,Halk Ekmek,37.04956,37.34276,0,,0,
11081,Pırlanta Düğün Salonu,37.04858,37.33953,0,,0,
11100,Halk Ekmek,37.04956,37.3431,0,,0,
10865,İncilikaya Kavşak,37.05153,37.43601,0,,0,
10205,Karaca Avm.,37.04987,37.43785,0,,0,
10204,B.Abdullah Edip Orta Okulu,37.04877,37.43936,0,,0,
10711,Nailbilen Caddesi 2,37.070582,37.367362,0,,0,
10406,M.Aksoy Blv. Finans Bank Önü,37.068981,37.36972,0,,0,
10870,Organize Sanayi 2.,37.15545,37.29728,0,,0,
11433,Lefkoşe Caddesi,37.0819,37.37172,0,,0,
11486,Lefkoşe Cad.1,37.08274,37.3706,0,,0,
13027,Masal Parkı,37.0648928,37.3550211,0,,0,
13028,25 Aralık Devlet Hastanesi,37.0669441,37.3622852,0,,0,
10411,Gazi Muhtar Paşa Bulvarı,37.06661,37.36988,0,,0,
10404,Gazi Muhtar Paşa Blv.,37.06691,37.36991,0,,0,
13035,Olimpik Havuz,37.0694611,37.3331256,0,,0,
11646,Total Petrol,37.046628,37.364355,0,,0,
11266,Dergah Düğün Salonu,37.0467,37.37913,0,,0,
13040,Duisburg,37.0866014,37.3362077,0,,0,
13005,Akkent Parkı,37.0152051,37.3574115,0,,0,
13026,Harikalar Diyarı,37.064465,37.3452586,0,,0,
13029,25 Aralık Devlet Hastanesi,37.066481,37.3605026,0,,0,
13038,İbrahimli Merkez,37.0795299,37.3323267,0,,0,
10540,Küçükkızıl Hisar,37.00308,37.30572,0,,0,
13042,Güvenevler,37.0906516,37.3387437,0,,0,
13048,Akkent Meydanı,37.0152601,37.366914,0,,0,
10864,25 Aralık Sanayi Sitesi,37.082351,37.453525,0,,0,
11294,Muhsin Yazıcıoğlu Parkı,37.046717,37.360625,0,,0,
10795,Cumhuriyet İtfaiyesi,37.053443,37.3573063,0,,0,
13058,15 Temmuz Demokrasi Meydanı,37.0661784,37.3770049,0,,0,
13015,Gaün,37.035595,37.318596,0,,0,
10745,Zafer Düğün Salonu,37.04704,37.35797,0,,0,
13019,Binevler,37.0481245,37.3259563,0,,0,
13001,İbni Sina,37.0154428,37.3835159,0,,0,
13025,Harikalar Diyarı,37.0646941,37.3470764,0,,0,
13008,Karataş Merkez,37.0201264,37.3407822,0,,0,
11056,Hasan Celal Güzel Cad.,37.07787,37.33126,0,,0,
10585,77.Nolu Cadde 3,37.03993,37.37271,0,,0,
11050,Bilfen Okulları,37.1003296,37.3282274,0,,0,
